Team,Player
Gus N Em,GM = fp
Gus N Em,@bigsnook
Gus N Em,@member2
Gus N Em,@rockymountain
Gus N Em,@juan69
Gus N Em,@shy
Gus N Em,@burden_10
Gus N Em,@penixszn
Gus N Em,@max
Gus N Em,@gmoney676
Gus N Em,@tyler
Bullets,Gm = risen
Bullets,@jonah
Bullets,@phx
Bullets,@thereturnofzlo
Bullets,@hulkman1025
Bullets,@f1
Bullets,@xo
Bullets,@bojack
Bullets,@snivy
Bullets,@bigk
Bullets,@devinbooker
Turkeys,GM = corbin
Turkeys,Jordancarter
Turkeys,nazreidadmirer
Turkeys,ay355
Turkeys,nyc
Turkeys,leek
Turkeys,snowy
Turkeys,psyklone
Turkeys,reinhart13
Turkeys,plemay
Turkeys,King
Bad Bois,GM = tracemcsorley
Bad Bois,Hoodispida
Bad Bois,jameswyo
Bad Bois,evildugz
Bad Bois,emo
Bad Bois,dillion
Bad Bois,delusionalrockiesfan
Bad Bois,@five
Bad Bois,safer
Bad Bois,galletitas
Bad Bois,knightnate12
Yetis,GM = Sinatra
Yetis,gast0n
Yetis,xyx
Yetis,xintervol
Yetis,buc
Yetis,@bobsburger
Yetis,sotonyc
Yetis,playexplainer
Yetis,Aliyu_
Yetis,sinatra
Yetis,chrono
Illegals,GM = cjstroud777
Illegals,eclipse
Illegals,dri
Illegals,@yvl
Illegals,@washington
Illegals,bshumer1
Illegals,fendforquis
Illegals,@member2580826
Illegals,lukeboss
Illegals,robertjr
Illegals,Artifact
