Date,Team 1,Team 2,Game Type,Winner
1/2,Masdog N Em,Cobras,Championship,Masdog N Em
1/3,Masdog N Em,Cobras,Championship,Masdog N Em
1/5,Masdog N Em,Cobras,Championship,Masdog N Em
1/6,Masdog N Em,Cobras,Championship,Masdog N Em
1/8,Masdog N Em,Cobras,Championship,Masdog N Em
1/9,Masdog N Em,Cobras,Championship,Masdog N Em
1/10,Masdog N Em,Cobras,Championship,Masdog N Em
