Round,Pick,Team,Player
1,1,Mafia,@washington
1,2,Chicken Nuggets,@saquan
1,3,The Bolts,@iconic
1,4,The Currents,@kenny_wya
1,5,Gus N Em via Illegals,@kane
1,6,Gus N Em,@plemay
1,7,Enforcers,@tannehill
1,8,Thunderhawks,@bigsnook
1,9,Alek Manoahs,@bennett
1,10,Burritos,@witt
1,11,Whatsgrass,@goose
1,12,Bees,@lukamodric
1,13,Gus N Em via Cobras,@curtisjoneslover
1,14,Karma Avengers,@rojoknicks
2,15,Illegals,@yellow
2,16,Mafia,@trixsta
2,17,The Bolts,@aprilfooldbday
2,18,The Currents,@hopkins
2,19,Enforcers via Chicken Nuggets,@claudesports
2,20,Enforcers,@snowyosu
2,21,Bees via Cobras via Gus N Em,@lecappa
2,22,Thunderhawks,@duran
2,23,Alek Manoahs,@tracemcsorley9
2,24,Burritos,@panther_15
2,25,Bees via Cobras via Whatsgrass,@johny_furphy
2,26,Bees,@frostfn
2,27,Gus N Em via Cobras,@stephenuh
2,28,Mafia via Karma Avengers,@ajbarner88
3,29,Illegals,@rzk__
3,30,Mafia,@tjdfan
3,31,The Bolts,@cte
3,32,The Currents,@member15789
3,33,Chicken Nuggets,@m0nangai
3,34,Enforcers,@xtatum
3,35,Gus N Em,@sadfanofillinoisports
3,36,Thunderhawks,@itzneallol
3,37,Alek Manoahs,@00zayne
3,38,Mafia via Burritos,@li.am
3,39,Whatsgrass,@yvlwarrior
3,40,Bees,@luka87
3,41,Burritos via Cobras,@nellyross
3,42,Karma Avengers,@masdog2222
4,43,Illegals,@devables
4,44,Mafia,@kylepittsworshiper
4,45,The Bolts,@schiefflin
4,46,The Currents,@dijonai
4,47,Chicken Nuggets,@seby029
4,48,Enforcers,@mvpbernardo
4,49,Enforcers via Gus N Em,@sportsmaster71
4,50,Thunderhawks,@ilovenerdytwinks
4,51,Alek Manoahs,@masony
4,52,Burritos,@bonergobing
4,53,Whatsgrass,@devils
4,54,Bees,@jjonah
4,55,Gus N Em via Mafia via Cobras,@jjetas111
4,56,Karma Avengers,SKIP
