Date,Team,Player,Score,Rank,Opponent
Recorded Game 2,Legends,@marcussasser25,5476,,
Recorded Game 3,Legends,@marcussasser25,7700,,
Recorded Game 4,Legends,@marcussasser25,4977,,
Recorded Game 1,Legends,@dragracer661,3577,,
Recorded Game 2,Legends,@dragracer661,3229,,
Recorded Game 3,Legends,@dragracer661,6810,,
Recorded Game 4,Legends,@dragracer661,4527,,
Recorded Game 1,Legends,@raysfan2,777,,
Recorded Game 2,Legends,@raysfan2,3980,,
Recorded Game 3,Legends,@raysfan2,1509,,
Recorded Game 4,Legends,@raysfan2,8189,,
Recorded Game 5,Legends,@raysfan2,1890,,
Recorded Game 1,Legends,@meth,1422,,
Recorded Game 2,Legends,@meth,2563,,
Recorded Game 3,Legends,@meth,6273,,
Recorded Game 4,Legends,@meth,269,,
Recorded Game 1,Legends,@passionatesportsfan,268,,
Recorded Game 2,Legends,@passionatesportsfan,980,,
Recorded Game 3,Legends,@passionatesportsfan,619,,
Recorded Game 1,Legends,@jeff_127,3378,,
Recorded Game 2,Legends,@jeff_127,3741,,
Recorded Game 3,Legends,@jeff_127,3564,,
Recorded Game 4,Legends,@jeff_127,1174,,
Recorded Game 5,Legends,@jeff_127,556,,
Recorded Game 1,Legends,@seahawkswoolen,4431,,
Recorded Game 2,Legends,@seahawkswoolen,4332,,
Recorded Game 3,Legends,@seahawkswoolen,2655,,
Recorded Game 1,Legends,@mcsports07,1691,,
Recorded Game 1,Masdog N Em,@masdog2222,4724,,
Recorded Game 2,Masdog N Em,@masdog2222,5295,,
Recorded Game 3,Masdog N Em,@masdog2222,7526,,
Recorded Game 4,Masdog N Em,@masdog2222,8952,,
Recorded Game 5,Masdog N Em,@masdog2222,5360,,
Recorded Game 6,Masdog N Em,@masdog2222,6645,,
Recorded Game 7,Masdog N Em,@masdog2222,4580,,
Recorded Game 1,Masdog N Em,@ballingpm,546,,
Recorded Game 2,Masdog N Em,@ballingpm,3000,,
Recorded Game 3,Masdog N Em,@ballingpm,5864,,
Recorded Game 4,Masdog N Em,@ballingpm,2565,,
Recorded Game 5,Masdog N Em,@ballingpm,3522,,
Recorded Game 1,Masdog N Em,@notkiddo,1422,,
Recorded Game 2,Masdog N Em,@notkiddo,3018,,
Recorded Game 3,Masdog N Em,@notkiddo,5666,,
Recorded Game 4,Masdog N Em,@notkiddo,9318,,
Recorded Game 5,Masdog N Em,@notkiddo,4553,,
Recorded Game 1,Masdog N Em,@noir,3637,,
Recorded Game 2,Masdog N Em,@noir,3786,,
Recorded Game 3,Masdog N Em,@noir,6548,,
Recorded Game 4,Masdog N Em,@noir,6693,,
Recorded Game 5,Masdog N Em,@noir,4746,,
Recorded Game 6,Masdog N Em,@noir,2428,,
Recorded Game 7,Masdog N Em,@noir,4578,,
Recorded Game 1,Masdog N Em,@brayden4,-211,,
Recorded Game 2,Masdog N Em,@brayden4,3801,,
Recorded Game 1,Masdog N Em,@zcamnewton,1510,,
Recorded Game 2,Masdog N Em,@zcamnewton,3304,,
Recorded Game 1,Masdog N Em,@bq,2990,,
Recorded Game 2,Masdog N Em,@bq,6548,,
Recorded Game 1,Masdog N Em,@fy,4349,,
Recorded Game 2,Masdog N Em,@fy,6131,,
Recorded Game 3,Masdog N Em,@fy,8486,,
Recorded Game 4,Masdog N Em,@fy,4232,,
Recorded Game 5,Masdog N Em,@fy,4936,,
Recorded Game 6,Masdog N Em,@fy,1881,,
Recorded Game 1,Masdog N Em,@zayo,6980,,
Recorded Game 2,Masdog N Em,@zayo,8735,,
Recorded Game 3,Masdog N Em,@zayo,3465,,
Recorded Game 4,Masdog N Em,@zayo,4914,,
Recorded Game 5,Masdog N Em,@zayo,5220,,
Recorded Game 1,Cobras,@aiden0220,2846,,
Recorded Game 2,Cobras,@aiden0220,5707,,
Recorded Game 3,Cobras,@aiden0220,6634,,
Recorded Game 4,Cobras,@aiden0220,9234,,
Recorded Game 5,Cobras,@aiden0220,3499,,
Recorded Game 6,Cobras,@aiden0220,4010,,
Recorded Game 1,Cobras,@wade,1529,,
Recorded Game 2,Cobras,@wade,3282,,
Recorded Game 3,Cobras,@wade,4159,,
Recorded Game 4,Cobras,@wade,5817,,
Recorded Game 5,Cobras,@wade,3371,,
Recorded Game 1,Cobras,@target,1948,,
Recorded Game 2,Cobras,@target,4587,,
Recorded Game 3,Cobras,@target,6748,,
Recorded Game 1,Cobras,@intriquid,2396,,
Recorded Game 2,Cobras,@intriquid,10049,,
Recorded Game 3,Cobras,@intriquid,3932,,
Recorded Game 4,Cobras,@intriquid,4795,,
Recorded Game 1,Cobras,@metsxjets_,122,,
Recorded Game 1,Cobras,@devonta,1855,,
Recorded Game 2,Cobras,@devonta,3968,,
Recorded Game 3,Cobras,@devonta,9279,,
Recorded Game 4,Cobras,@devonta,2248,,
Recorded Game 5,Cobras,@devonta,4394,,
Recorded Game 1,Cobras,@tatum,4701,,
Recorded Game 2,Cobras,@tatum,4705,,
Recorded Game 3,Cobras,@tatum,5374,,
Recorded Game 4,Cobras,@tatum,3401,,
Recorded Game 1,Cobras,@bobsburger,2471,,
Recorded Game 2,Cobras,@bobsburger,5475,,
Recorded Game 3,Cobras,@bobsburger,7483,,
Recorded Game 4,Cobras,@bobsburger,4916,,
Recorded Game 1,Cobras,@louseal,6246,,
Recorded Game 2,Cobras,@louseal,2655,,
Recorded Game 1,Cobras,@airbud,1079,,
Recorded Game 2,Cobras,@airbud,2502,,
Recorded Game 3,Cobras,@airbud,3649,,
Recorded Game 1,Cobras,@jayson,2077,,
Recorded Game 1,Burritos,@playexplainer,2388,,
Recorded Game 2,Burritos,@playexplainer,3762,,
Recorded Game 3,Burritos,@playexplainer,6008,,
Recorded Game 4,Burritos,@playexplainer,4080,,
Recorded Game 5,Burritos,@playexplainer,3644,,
Recorded Game 1,Burritos,@timeless,2729,,
Recorded Game 2,Burritos,@timeless,4343,,
Recorded Game 3,Burritos,@timeless,5209,,
Recorded Game 4,Burritos,@timeless,2110,,
Recorded Game 5,Burritos,@timeless,2054,,
Recorded Game 1,Burritos,@hoosier,-352,,
Recorded Game 2,Burritos,@hoosier,1398,,
Recorded Game 3,Burritos,@hoosier,5628,,
Recorded Game 4,Burritos,@hoosier,5295,,
Recorded Game 5,Burritos,@hoosier,827,,
Recorded Game 1,Burritos,@trylq,2970,,
Recorded Game 2,Burritos,@trylq,4785,,
Recorded Game 3,Burritos,@trylq,5864,,
Recorded Game 4,Burritos,@trylq,44995,,
Recorded Game 5,Burritos,@trylq,2444,,
Recorded Game 6,Burritos,@trylq,3844,,
Recorded Game 1,Burritos,@trace,2287,,
Recorded Game 2,Burritos,@trace,3260,,
Recorded Game 3,Burritos,@trace,5913,,
Recorded Game 4,Burritos,@trace,4456,,
Recorded Game 5,Burritos,@trace,915,,
Recorded Game 6,Burritos,@trace,1502,,
Recorded Game 1,Burritos,@li.am,378,,
Recorded Game 1,Burritos,@orl,4053,,
Recorded Game 2,Burritos,@orl,1052,,
Recorded Game 1,Burritos,@volp3,3521,,
Recorded Game 2,Burritos,@volp3,2225,,
Recorded Game 1,Burritos,@chris,8576,,
Recorded Game 2,Burritos,@chris,8368,,
Recorded Game 3,Burritos,@chris,8086,,
Recorded Game 4,Burritos,@chris,6340,,
Recorded Game 1,Illegals,@cjstroud777,433,,
Recorded Game 2,Illegals,@cjstroud777,2071,,
Recorded Game 3,Illegals,@cjstroud777,1768,,
Recorded Game 4,Illegals,@cjstroud777,5130,,
Recorded Game 5,Illegals,@cjstroud777,2190,,
Recorded Game 6,Illegals,@cjstroud777,3413,,
Recorded Game 1,Illegals,@murray,3750,,
Recorded Game 2,Illegals,@murray,5165,,
Recorded Game 3,Illegals,@murray,6905,,
Recorded Game 4,Illegals,@murray,6516,,
Recorded Game 5,Illegals,@murray,3570,,
Recorded Game 1,Illegals,@bigk,1295,,
Recorded Game 2,Illegals,@bigk,4008,,
Recorded Game 3,Illegals,@bigk,5227,,
Recorded Game 4,Illegals,@bigk,3622,,
Recorded Game 5,Illegals,@bigk,1556,,
Recorded Game 6,Illegals,@bigk,2392,,
Recorded Game 1,Illegals,@sampson,1547,,
Recorded Game 2,Illegals,@sampson,4638,,
Recorded Game 3,Illegals,@sampson,966,,
Recorded Game 4,Illegals,@sampson,2988,,
Recorded Game 5,Illegals,@sampson,1384,,
Recorded Game 6,Illegals,@sampson,2641,,
Recorded Game 1,Illegals,@walmart,334,,
Recorded Game 2,Illegals,@walmart,5243,,
Recorded Game 3,Illegals,@walmart,3995,,
Recorded Game 4,Illegals,@walmart,821,,
Recorded Game 5,Illegals,@walmart,1233,,
Recorded Game 1,Illegals,@karty,701,,
Recorded Game 2,Illegals,@karty,3344,,
Recorded Game 3,Illegals,@karty,787,,
Recorded Game 1,Illegals,@zybl,597,,
Recorded Game 1,Illegals,@am,5932,,
Recorded Game 2,Illegals,@am,7623,,
Recorded Game 3,Illegals,@am,4946,,
Recorded Game 4,Illegals,@am,5019,,
Recorded Game 1,Gus N Em,@bojack,2137,,
Recorded Game 2,Gus N Em,@bojack,5310,,
Recorded Game 3,Gus N Em,@bojack,6384,,
Recorded Game 4,Gus N Em,@bojack,12377,,
Recorded Game 5,Gus N Em,@bojack,4210,,
Recorded Game 6,Gus N Em,@bojack,3591,,
Recorded Game 1,Gus N Em,@koolaidman,-461,,
Recorded Game 2,Gus N Em,@koolaidman,1239,,
Recorded Game 1,Gus N Em,@tylrr,1729,,
Recorded Game 2,Gus N Em,@tylrr,3061,,
Recorded Game 3,Gus N Em,@tylrr,3985,,
Recorded Game 4,Gus N Em,@tylrr,7159,,
Recorded Game 5,Gus N Em,@tylrr,1764,,
Recorded Game 6,Gus N Em,@tylrr,2683,,
Recorded Game 1,Gus N Em,@gus_edwards,579,,
Recorded Game 2,Gus N Em,@gus_edwards,1290,,
Recorded Game 3,Gus N Em,@gus_edwards,442,,
Recorded Game 4,Gus N Em,@gus_edwards,4520,,
Recorded Game 5,Gus N Em,@gus_edwards,726,,
Recorded Game 6,Gus N Em,@gus_edwards,2357,,
Recorded Game 1,Gus N Em,@ppenjoyer,-1299,,
Recorded Game 1,Gus N Em,@poopybuttlover,2562,,
Recorded Game 2,Gus N Em,@poopybuttlover,4586,,
Recorded Game 3,Gus N Em,@poopybuttlover,6165,,
Recorded Game 4,Gus N Em,@poopybuttlover,7352,,
Recorded Game 5,Gus N Em,@poopybuttlover,4249,,
Recorded Game 6,Gus N Em,@poopybuttlover,1919,,
Recorded Game 1,Gus N Em,@usa,-86,,
Recorded Game 2,Gus N Em,@usa,2833,,
Recorded Game 1,Gus N Em,@ejwise,2204,,
Recorded Game 2,Gus N Em,@ejwise,4108,,
Recorded Game 3,Gus N Em,@ejwise,1388,,
Recorded Game 4,Gus N Em,@ejwise,4776,,
Recorded Game 1,Gus N Em,@member2580826uee,1579,,
Recorded Game 2,Gus N Em,@member2580826uee,3497,,
Recorded Game 3,Gus N Em,@member2580826uee,4892,,
Recorded Game 1,Gus N Em,@fanofsports,40,,
Recorded Game 1,Bees,@pluto,56,,
Recorded Game 2,Bees,@pluto,2750,,
Recorded Game 1,Bees,@simplyhimm,701,,
Recorded Game 1,Bees,@💦💦,-1007,,
Recorded Game 2,Bees,@💦💦,6159,,
Recorded Game 3,Bees,@💦💦,2949,,
Recorded Game 4,Bees,@💦💦,-330,,
Recorded Game 1,Bees,@dos,2891,,
Recorded Game 2,Bees,@dos,6857,,
Recorded Game 3,Bees,@dos,6438,,
Recorded Game 4,Bees,@dos,8410,,
Recorded Game 5,Bees,@dos,2860,,
Recorded Game 6,Bees,@dos,4756,,
Recorded Game 1,Bees,@mpls,1119,,
Recorded Game 2,Bees,@mpls,6542,,
Recorded Game 3,Bees,@mpls,7227,,
Recorded Game 4,Bees,@mpls,7080,,
Recorded Game 5,Bees,@mpls,3829,,
Recorded Game 6,Bees,@mpls,2471,,
Recorded Game 1,Bees,@etan22,4970,,
Recorded Game 2,Bees,@etan22,5708,,
Recorded Game 3,Bees,@etan22,6411,,
Recorded Game 4,Bees,@etan22,8772,,
Recorded Game 5,Bees,@etan22,4228,,
Recorded Game 6,Bees,@etan22,3630,,
Recorded Game 1,Bees,@indie,585,,
Recorded Game 1,Bees,@anardi2727,2497,,
Recorded Game 2,Bees,@anardi2727,3263,,
Recorded Game 3,Bees,@anardi2727,3339,,
Recorded Game 4,Bees,@anardi2727,1464,,
Recorded Game 1,Bees,@panarinbread,3047,,
Recorded Game 2,Bees,@panarinbread,5709,,
Recorded Game 1,Bees,@lebron33goat6,6705,,
Recorded Game 2,Bees,@lebron33goat6,13155,,
Recorded Game 3,Bees,@lebron33goat6,4546,,
Recorded Game 4,Bees,@lebron33goat6,5723,,
Recorded Game 1,Enforcers,@mad,3734,,
Recorded Game 2,Enforcers,@mad,4550,,
Recorded Game 3,Enforcers,@mad,4053,,
Recorded Game 4,Enforcers,@mad,4694,,
Recorded Game 5,Enforcers,@mad,3786,,
Recorded Game 6,Enforcers,@mad,1871,,
Recorded Game 1,Enforcers,@jd5,1424,,
Recorded Game 2,Enforcers,@jd5,-81,,
Recorded Game 1,Enforcers,@yvl,3188,,
Recorded Game 2,Enforcers,@yvl,5634,,
Recorded Game 3,Enforcers,@yvl,5699,,
Recorded Game 4,Enforcers,@yvl,4756,,
Recorded Game 5,Enforcers,@yvl,360,,
Recorded Game 6,Enforcers,@yvl,1194,,
Recorded Game 1,Enforcers,@member230193,3315,,
Recorded Game 2,Enforcers,@member230193,1067,,
Recorded Game 3,Enforcers,@member230193,3894,,
Recorded Game 4,Enforcers,@member230193,6895,,
Recorded Game 5,Enforcers,@member230193,2709,,
Recorded Game 6,Enforcers,@member230193,1081,,
Recorded Game 1,Enforcers,@srbija,98,,
Recorded Game 2,Enforcers,@srbija,1200,,
Recorded Game 3,Enforcers,@srbija,4599,,
Recorded Game 1,Enforcers,@therealsportsman,695,,
Recorded Game 2,Enforcers,@therealsportsman,2454,,
Recorded Game 3,Enforcers,@therealsportsman,540,,
Recorded Game 1,Enforcers,@delusionalbroncosfan,1423,,
Recorded Game 1,Enforcers,@member2580826uee,1579,,
Recorded Game 1,Enforcers,@usa,-86,,
Recorded Game 2,Enforcers,@usa,2833,,
Recorded Game 3,Enforcers,@usa,3483,,
Recorded Game 4,Enforcers,@usa,2547,,
Recorded Game 5,Enforcers,@usa,1248,,
Recorded Game 1,Enforcers,@koolaidman,-461,,
Recorded Game 2,Enforcers,@koolaidman,1239,,
Recorded Game 3,Enforcers,@koolaidman,2231,,
Recorded Game 1,Enforcers,@metsxjets_,122,,
Recorded Game 2,Enforcers,@metsxjets_,1570,,
Recorded Game 3,Enforcers,@metsxjets_,4608,,
Recorded Game 1,Enforcers,@luca_,2584,,
Recorded Game 2,Enforcers,@luca_,2944,,
Recorded Game 1,Chicken Nuggets,@zooch5,1068,,
Recorded Game 2,Chicken Nuggets,@zooch5,5586,,
Recorded Game 3,Chicken Nuggets,@zooch5,5699,,
Recorded Game 4,Chicken Nuggets,@zooch5,8493,,
Recorded Game 5,Chicken Nuggets,@zooch5,4824,,
Recorded Game 1,Chicken Nuggets,@doggy,1111,,
Recorded Game 2,Chicken Nuggets,@doggy,6285,,
Recorded Game 3,Chicken Nuggets,@doggy,6917,,
Recorded Game 4,Chicken Nuggets,@doggy,8084,,
Recorded Game 5,Chicken Nuggets,@doggy,3394,,
Recorded Game 6,Chicken Nuggets,@doggy,4824,,
Recorded Game 7,Chicken Nuggets,@doggy,5195,,
Recorded Game 1,Chicken Nuggets,@vikings,100,,
Recorded Game 2,Chicken Nuggets,@vikings,2100,,
Recorded Game 3,Chicken Nuggets,@vikings,3034,,
Recorded Game 4,Chicken Nuggets,@vikings,3667,,
Recorded Game 5,Chicken Nuggets,@vikings,757,,
Recorded Game 6,Chicken Nuggets,@vikings,3394,,
Recorded Game 7,Chicken Nuggets,@vikings,439,,
Recorded Game 1,Chicken Nuggets,@theebaltimorian,1182,,
Recorded Game 2,Chicken Nuggets,@theebaltimorian,4139,,
Recorded Game 3,Chicken Nuggets,@theebaltimorian,3042,,
Recorded Game 4,Chicken Nuggets,@theebaltimorian,5380,,
Recorded Game 5,Chicken Nuggets,@theebaltimorian,1036,,
Recorded Game 6,Chicken Nuggets,@theebaltimorian,757,,
Recorded Game 1,Chicken Nuggets,@_mookiecookie_,925,,
Recorded Game 2,Chicken Nuggets,@_mookiecookie_,1202,,
Recorded Game 3,Chicken Nuggets,@_mookiecookie_,3722,,
Recorded Game 4,Chicken Nuggets,@_mookiecookie_,3278,,
Recorded Game 5,Chicken Nuggets,@_mookiecookie_,2767,,
Recorded Game 6,Chicken Nuggets,@_mookiecookie_,1036,,
Recorded Game 1,Chicken Nuggets,@jocky,380,,
Recorded Game 2,Chicken Nuggets,@jocky,2767,,
Recorded Game 1,Chicken Nuggets,@donmattingly,-270,,
Recorded Game 1,Chicken Nuggets,@tk14,5626,,
Recorded Game 2,Chicken Nuggets,@tk14,8191,,
Recorded Game 3,Chicken Nuggets,@tk14,42933,,
Recorded Game 4,Chicken Nuggets,@tk14,3002,,
Recorded Game 5,Chicken Nuggets,@tk14,5010,,
Recorded Game 1,Chicken Nuggets,@yvl,3188,,
Recorded Game 2,Chicken Nuggets,@yvl,5634,,
Recorded Game 3,Chicken Nuggets,@yvl,5699,,
Recorded Game 4,Chicken Nuggets,@yvl,4756,,
Recorded Game 5,Chicken Nuggets,@yvl,360,,
Recorded Game 6,Chicken Nuggets,@yvl,1194,,
Recorded Game 7,Chicken Nuggets,@yvl,1700,,
Recorded Game 1,Chicken Nuggets,@meth,1422,,
Recorded Game 2,Chicken Nuggets,@meth,2563,,
Recorded Game 3,Chicken Nuggets,@meth,6273,,
Recorded Game 4,Chicken Nuggets,@meth,269,,
Recorded Game 5,Chicken Nuggets,@meth,1369,,
Recorded Game 1,Chicken Nuggets,@passionatesportsfan,268,,
Recorded Game 2,Chicken Nuggets,@passionatesportsfan,980,,
Recorded Game 3,Chicken Nuggets,@passionatesportsfan,619,,
Recorded Game 4,Chicken Nuggets,@passionatesportsfan,2876,,
Recorded Game 1,ALEK Manoahs,@max,4551,,
Recorded Game 2,ALEK Manoahs,@max,6040,,
Recorded Game 3,ALEK Manoahs,@max,7084,,
Recorded Game 4,ALEK Manoahs,@max,7300,,
Recorded Game 5,ALEK Manoahs,@max,3057,,
Recorded Game 6,ALEK Manoahs,@max,4356,,
Recorded Game 7,ALEK Manoahs,@max,4528,,
Recorded Game 1,ALEK Manoahs,@holmesdale,2466,,
Recorded Game 2,ALEK Manoahs,@holmesdale,3356,,
Recorded Game 3,ALEK Manoahs,@holmesdale,4368,,
Recorded Game 4,ALEK Manoahs,@holmesdale,3986,,
Recorded Game 5,ALEK Manoahs,@holmesdale,2913,,
Recorded Game 6,ALEK Manoahs,@holmesdale,2420,,
Recorded Game 7,ALEK Manoahs,@holmesdale,2601,,
Recorded Game 1,ALEK Manoahs,@melatonin,-1165,,
Recorded Game 2,ALEK Manoahs,@melatonin,2770,,
Recorded Game 3,ALEK Manoahs,@melatonin,5321,,
Recorded Game 4,ALEK Manoahs,@melatonin,3393,,
Recorded Game 5,ALEK Manoahs,@melatonin,596,,
Recorded Game 6,ALEK Manoahs,@melatonin,1535,,
Recorded Game 1,ALEK Manoahs,@bryzzo_,1039,,
Recorded Game 2,ALEK Manoahs,@bryzzo_,4401,,
Recorded Game 3,ALEK Manoahs,@bryzzo_,1339,,
Recorded Game 4,ALEK Manoahs,@bryzzo_,2458,,
Recorded Game 5,ALEK Manoahs,@bryzzo_,1962,,
Recorded Game 6,ALEK Manoahs,@bryzzo_,2627,,
Recorded Game 7,ALEK Manoahs,@bryzzo_,2548,,
Recorded Game 1,ALEK Manoahs,@wisconszn,-917,,
Recorded Game 2,ALEK Manoahs,@wisconszn,-1214,,
Recorded Game 3,ALEK Manoahs,@wisconszn,3019,,
Recorded Game 4,ALEK Manoahs,@wisconszn,1380,,
Recorded Game 5,ALEK Manoahs,@wisconszn,921,,
Recorded Game 6,ALEK Manoahs,@wisconszn,1103,,
Recorded Game 7,ALEK Manoahs,@wisconszn,3144,,
Recorded Game 1,ALEK Manoahs,@shota_imanaga,-300,,
Recorded Game 2,ALEK Manoahs,@shota_imanaga,5099,,
Recorded Game 3,ALEK Manoahs,@shota_imanaga,1035,,
Recorded Game 1,ALEK Manoahs,@thereturnofzlo,7212,,
Recorded Game 2,ALEK Manoahs,@thereturnofzlo,6930,,
Recorded Game 3,ALEK Manoahs,@thereturnofzlo,3819,,
Recorded Game 4,ALEK Manoahs,@thereturnofzlo,3221,,
Recorded Game 5,ALEK Manoahs,@thereturnofzlo,2998,,
