Date,Team,Player,Score,Rank,Opponent
Recorded Game 1,Richer N Em,@richer,1127,,
Recorded Game 2,Richer N Em,@richer,1382,,
Recorded Game 3,Richer N Em,@richer,5024,,
Recorded Game 4,Richer N Em,@richer,3379,,
Recorded Game 5,Richer N Em,@richer,2502,,
Recorded Game 1,Richer N Em,@h1m,1619,,
Recorded Game 2,Richer N Em,@h1m,2451,,
Recorded Game 3,Richer N Em,@h1m,5552,,
Recorded Game 1,Richer N Em,@smartomarcus,4218,,
Recorded Game 2,Richer N Em,@smartomarcus,3799,,
Recorded Game 3,Richer N Em,@smartomarcus,4575,,
Recorded Game 4,Richer N Em,@smartomarcus,3267,,
Recorded Game 5,Richer N Em,@smartomarcus,3532,,
Recorded Game 1,Richer N Em,@winn_enthusiast,1278,,
Recorded Game 2,Richer N Em,@winn_enthusiast,4059,,
Recorded Game 3,Richer N Em,@winn_enthusiast,3767,,
Recorded Game 4,Richer N Em,@winn_enthusiast,7891,,
Recorded Game 5,Richer N Em,@winn_enthusiast,5489,,
Recorded Game 6,Richer N Em,@winn_enthusiast,5081,,
Recorded Game 1,Richer N Em,@pnd,863,,
Recorded Game 2,Richer N Em,@pnd,4132,,
Recorded Game 3,Richer N Em,@pnd,4799,,
Recorded Game 4,Richer N Em,@pnd,2869,,
Recorded Game 5,Richer N Em,@pnd,4781,,
Recorded Game 1,Richer N Em,@member2,813,,
Recorded Game 2,Richer N Em,@member2,5241,,
Recorded Game 3,Richer N Em,@member2,3309,,
Recorded Game 1,Richer N Em,@canes_,3975,,
Recorded Game 2,Richer N Em,@canes_,6468,,
Recorded Game 1,Richer N Em,@kaidenpickle3,4840,,
Recorded Game 2,Richer N Em,@kaidenpickle3,8684,,
Recorded Game 3,Richer N Em,@kaidenpickle3,2920,,
Recorded Game 1,Richer N Em,@kumingaszn,7805,,
Recorded Game 2,Richer N Em,@kumingaszn,3391,,
Recorded Game 3,Richer N Em,@kumingaszn,2878,,
Recorded Game 1,Whatsgrass,@cam_johnson,1079,,
Recorded Game 2,Whatsgrass,@cam_johnson,2502,,
Recorded Game 3,Whatsgrass,@cam_johnson,3649,,
Recorded Game 4,Whatsgrass,@cam_johnson,579,,
Recorded Game 5,Whatsgrass,@cam_johnson,3935,,
Recorded Game 6,Whatsgrass,@cam_johnson,3823,,
Recorded Game 1,Whatsgrass,@fullofopps,3835,,
Recorded Game 2,Whatsgrass,@fullofopps,2872,,
Recorded Game 3,Whatsgrass,@fullofopps,1924,,
Recorded Game 4,Whatsgrass,@fullofopps,10108,,
Recorded Game 5,Whatsgrass,@fullofopps,3004,,
Recorded Game 6,Whatsgrass,@fullofopps,2322,,
Recorded Game 7,Whatsgrass,@fullofopps,3572,,
Recorded Game 1,Whatsgrass,@cobe,-470,,
Recorded Game 2,Whatsgrass,@cobe,827,,
Recorded Game 3,Whatsgrass,@cobe,70,,
Recorded Game 4,Whatsgrass,@cobe,10,,
Recorded Game 1,Whatsgrass,@trickyy,2858,,
Recorded Game 2,Whatsgrass,@trickyy,2671,,
Recorded Game 3,Whatsgrass,@trickyy,5191,,
Recorded Game 4,Whatsgrass,@trickyy,7669,,
Recorded Game 5,Whatsgrass,@trickyy,2850,,
Recorded Game 6,Whatsgrass,@trickyy,1840,,
Recorded Game 7,Whatsgrass,@trickyy,3257,,
Recorded Game 1,Whatsgrass,@mmf39,144,,
Recorded Game 2,Whatsgrass,@mmf39,2659,,
Recorded Game 3,Whatsgrass,@mmf39,4668,,
Recorded Game 4,Whatsgrass,@mmf39,1368,,
Recorded Game 5,Whatsgrass,@mmf39,2355,,
Recorded Game 1,Whatsgrass,@papacoop,3545,,
Recorded Game 2,Whatsgrass,@papacoop,5912,,
Recorded Game 3,Whatsgrass,@papacoop,5759,,
Recorded Game 4,Whatsgrass,@papacoop,10705,,
Recorded Game 5,Whatsgrass,@papacoop,3437,,
Recorded Game 6,Whatsgrass,@papacoop,4394,,
Recorded Game 7,Whatsgrass,@papacoop,4104,,
Recorded Game 1,Whatsgrass,@jimmybucketsdagoat,-565,,
Recorded Game 2,Whatsgrass,@jimmybucketsdagoat,28,,
Recorded Game 1,Whatsgrass,@pritchard,7679,,
Recorded Game 2,Whatsgrass,@pritchard,9371,,
Recorded Game 3,Whatsgrass,@pritchard,4639,,
Recorded Game 4,Whatsgrass,@pritchard,4221,,
Recorded Game 1,Legends,@hopkins,1337,,
Recorded Game 2,Legends,@hopkins,3240,,
Recorded Game 3,Legends,@hopkins,4065,,
Recorded Game 4,Legends,@hopkins,7188,,
Recorded Game 5,Legends,@hopkins,3579,,
Recorded Game 6,Legends,@hopkins,4793,,
Recorded Game 1,Legends,@marcussasser25,3843,,
