League,Team,Wins,Losses,GB,Win %
East,Masdog N Em,15,1,0,.938
East,Whatsgrass,10,6,5,.625
East,ALEK Manoahs,9,7,6,.563
East,Thunderhawks,8,8,7,.500
East,Chicken Nuggets,4,12,11,.250
East,Mafia,3,13,12,.188
West,Cobras,12,4,0,.750
West,Bees,11,5,1,.688
West,Burritos,10,6,2,.625
West,Gus N Em,7,9,5,.438
West,Enforcers,4,12,8,.250
West,Illegals,3,13,9,.188
