League,Team,Wins,Losses,GB,Win %
East,Whatsgrass,12,4,0,.750
East,Karma Avengers,10,6,2,.625
East,Thunderhawks,9,7,3,.563
East,ALEK Manoahs,8,8,4,.500
East,Mafia,7,9,5,.438
East,Doggy N Em,7,9,5,.438
East,The Currents,2,14,10,.125
West,Cobras,14,2,0,.875
West,Burritos,11,5,3,.688
West,Gus N Em,11,5,3,.688
West,Bees,7,9,7,.438
West,Illegals,6,10,8,.375
West,Enforcers,5,11,9,.313
West,The Bolts,4,12,10,.250
