Round,Pick,Team,Player
1,1,Legends,@chiles
1,2,Bees,@chrisrichards
1,3,Tigers,@ballingpm
1,4,Gus N Em,@xyz
1,5,Burritos (from Gamblers),@camnewtondabest
1,6,Rebels,@targaryen
1,7,Alek Manoahs,@brock.purdy
1,8,Gamblers (from Burritos),@mad
1,9,Big bad club,@intriquid
1,10,Whatsgrass,@plakata
1,11,Illegals,@cjstroud777
1,12,Thunderhawks,@member2580826
1,13,Legends,@raysfan2
1,14,Bees,@blackbraunlover
1,15,Tigers,@koolaidman2x
1,16,Gus N Em,@bogart420
1,17,Gamblers,@platoonat
1,18,Rebels,@media
1,19,Alek Manoahs,@jocky
1,20,Gamblers (from Burritos),@nyg
1,21,Big bad club,@tylrr
1,22,Whatsgrass,@jimmybucketsdagoat
1,23,Illegals,@theboysinblue
1,24,Thunderhawks,@zavoided
1,25,New Teams Draft,@nketiah
2,26,Legends,@passionatesportsfan
2,27,Bees,@vikings
2,28,Tigers,@papapug15
2,29,Gus N Em,@ppenjoyed
2,30,Gamblers,@aidan_k
2,31,Rebels,@nketiah
2,32,Rebels,@therealsportsman
2,33,Gamblers,@umd
2,34,Gus N Em,@fy
2,35,Tigers,@herro_
2,36,Bees,@pure
2,37,Legends,@derbyrule
2,38,Legends,@mcsports07
2,39,Bees,@chocolate_maltesers
2,40,Tigers,@odunze_chi
2,41,Gus N Em,@lel3
2,42,Gamblers,@rigger
2,43,Rebels,@niico
2,44,Rebels,@thrift
2,45,Gamblers,@simplyhimm
2,46,Gus N Em,@1_caniac
2,47,Tigers,@noir
2,48,Bees,@fanofsports101
2,49,Legends,@chris.kate
2,50,Big bad club,@ballingpm
