League,Team,Wins,Losses,GB,Win %
Justin Jefferson,Whatsgrass,7,0,0,1.000
Justin Jefferson,Wolves,7,0,0,1.000
Justin Jefferson,The Currents,4,3,3,.571
Justin Jefferson,Mafia,3,4,4,.429
Justin Jefferson,ALEK Manoahs,2,5,5,.286
Justin Jefferson,Thunderhawks,0,7,7,.000
Justin Jefferson,Phoenix,0,7,7,.000
Jrrdql,Bees,7,0,0,1.000
Jrrdql,Illegals,5,2,2,.714
Jrrdql,Gus N Em,5,2,2,.714
Jrrdql,Cobras,4,3,3,.571
Jrrdql,Zombies,4,3,3,.571
Jrrdql,Mets,3,4,4,.429
Jrrdql,Turkeys,2,5,5,.286
Jrrdql,Broncos,2,6,5.5,.250
