Date,Team 1,Team 2,Game Type,Winner
5/20,Mafia,ALEK Manoahs,Playoffs,Mafia
5/20,The Currents,Thunderhawks,Playoffs,The Currents
5/20,Gus N Em,Illegals,Playoffs,Gus N Em
5/20,Burritos,Turkeys,Playoffs,Burritos
5/21,Mafia,ALEK Manoahs,Playoffs,Mafia
5/21,The Currents,Thunderhawks,Playoffs,The Currents
5/21,Gus N Em,Illegals,Playoffs,Gus N Em
5/21,Burritos,Turkeys,Playoffs,Burritos
5/22,Mafia,ALEK Manoahs,Playoffs,Mafia
5/22,The Currents,Thunderhawks,Playoffs,The Currents
5/22,Gus N Em,Illegals,Playoffs,Gus N Em
5/22,Burritos,Turkeys,Playoffs,Burritos
5/23,Gus N Em,Illegals,Playoffs,Gus N Em
5/23,Burritos,Turkeys,Playoffs,Burritos
5/24,Mafia,The Currents,Playoffs,Mafia
5/24,Gus N Em,Burritos,Playoffs,Gus N Em
5/25,Mafia,The Currents,Playoffs,Mafia
5/25,Gus N Em,Burritos,Playoffs,Gus N Em
5/26,Mafia,The Currents,Playoffs,Mafia
5/26,Gus N Em,Burritos,Playoffs,Gus N Em
5/27,Mafia,The Currents,Playoffs,Mafia
5/27,Gus N Em,Burritos,Playoffs,Gus N Em
5/28,Mafia,The Currents,Playoffs,Mafia
5/28,Gus N Em,Burritos,Playoffs,Gus N Em
5/29,Gus N Em,Burritos,Playoffs,Gus N Em
5/30,Mafia,The Currents,Playoffs,Mafia
5/30,Gus N Em,Illegals,Playoffs,Gus N Em
5/31,Mafia,The Currents,Playoffs,Mafia
6/2,Gus N Em,The Currents,Playoffs,Gus N Em
6/4,Gus N Em,The Currents,Playoffs,Gus N Em
6/5,Gus N Em,The Currents,Playoffs,Gus N Em
6/6,Gus N Em,The Currents,Playoffs,Gus N Em
6/7,Gus N Em,The Currents,Playoffs,Gus N Em
