Round,Pick,Team,Player
1,1,The Currents,@jordancarter
1,2,Doggy N Em,@devinbooker
1,3,Enforcers,@sports6138
1,4,The Bolts,@na_te
1,5,Bees,@kingofthesliders
1,6,Illegals,@dxvxn
1,7,Mafia,@goup65
1,8,The Bolts via ALEK Manoahs,@derrickwhitetop5
1,9,The Currents via Thunderhawks,@bg_15
1,10,Burritos,@twistex
1,11,Gus N Em,@masons_
1,12,Whatsgrass,@abbosba1
1,13,Karma Avengers,@hoodispida
1,14,Whatsgrass via Doggy N Em via Cobras,@jasson
1,15,Whatsgrass,@king
1,16,Illegals,@nazreidadmirer
1,17,Cobras,@aunt
1,18,Thunderhawks,@mattymayhem
1,19,Mafia,@zupa
1,20,Bees,@yvl
2,21,The Currents,@dylan
2,22,The Bolts,@bshumer1
2,23,Enforcers,@lamelo
2,24,Illegals,@Samuelaina
2,25,Bees,@unovault
2,26,Doggy N Em,@jamesoutman
2,27,Mafia,@senga
2,28,The Currents via ALEK Manoahs,@zachamania126
2,29,Thunderhawks,@dolphins
2,30,Burritos,@quagsireeee
2,31,Doggy N Em via The Bolts via Gus N Em,@noahhanifin15
2,32,Whatsgrass,@jazzy
2,33,Thunderhawks via Karma Avengers,@milonmomciloviclover
2,34,The Currents via Doggy N Em via Cobras,@ryan.5
2,35,Doggy N Em,@jaredgoffmeatrider
2,36,ALEK Manoahs,@bellotupsd
3,37,The Currents,@artifact
3,38,Whatsgrass via The Bolts,@samuelskol
3,39,Wolves,@rshupe19
3,40,Doggy N Em via Phoenix,@runz
3,41,Enforcers,@tinostge2nd
3,42,Illegals,@mcdae
3,43,Bees,@kiani21
3,44,Doggy N Em,@miggy19
3,45,Mafia,@dannybask05
3,46,ALEK Manoahs,@chickeklag
3,47,Thunderhawks,@ry
3,48,Burritos,@ryrobin1228
3,49,Gus N Em,FORFEIT
3,50,Whatsgrass,@kayodee
3,51,The Bolts via Karma Avengers,@croft
3,52,Gus N Em via Doggy N Em via Cobras,FORFEIT
4,53,The Currents,@gavigator
4,54,ALEK Manoahs via The Bolts,@izzy1818
4,55,Phoenix,@xoid
4,56,Wolves,@praze
4,57,Enforcers,@hacks
4,58,Illegals,@eba_13
4,59,Bees,@jjetas11
4,60,Doggy N Em,FORFEIT
4,61,Thunderhawks via Mafia,@collegedropouts
4,62,ALEK Manoahs,@lewardjames
4,63,Thunderhawks,@tlawdagoat16
4,64,Burritos,@meegs_8_
4,65,Burritos via Gus N Em,@6isd1
4,66,Whatsgrass,FORFEIT
4,67,Doggy N Em via The Currents via Karma Avengers,FORFEIT
4,68,Cobras,@l2shifty
