Round,Pick,Team,Player
1,1,Wolves,@dillon
1,2,Whatsgrass,@robertjr
1,3,Whatsgrass via Avengers,@pace
1,4,Whatsgrass via Wranglers,@hemanthhh
1,5,Mets,@sotonyc
1,6,Whatsgrass via Bees,@trey
1,7,Gus N Em via Mambas,@jd5
1,8,Cobras,@ay355
1,9,Burritos,@eric__
1,10,Whatsgrass via Alek Manoahs,@penixszn
1,11,Thunderhawks,@snivy
1,12,Gus N Em via Illegals,@armani55
1,13,Wranglers via Turkeys,@⚔️👑
1,14,Whatsgrass via Mafia,@knightnate12
1,15,Gus N Em via Illegals via Gus N Em,@mensah
1,16,The Currents,@idxstyew
1,17,Turkeys,@li.am
2,18,Mambas via Avengers,@richer
2,19,Turkeys via Whatsgrass,@robtooshifty
2,20,Whatsgrass via Wranglers,@mobbaby
2,21,Whatsgrass via Mets,@burress
2,22,Wolves,@butlers
2,23,Bees,@five
2,24,Mets via Mambas,@aye
2,25,Cobras,@zanzofw
2,26,Burritos,@jmarsh
2,27,Avengers via Whatsgrass via Alek Manoahs,@tacko
2,28,Thunderhawks,@risen
2,29,Illegals,@isaac
2,30,Bees via Mafia,@bijan
2,31,The Currents,@rukh
2,32,Cobras via Turkeys,@member10819
2,33,Turkeys via Gus N Em,@divo
3,34,Mambas via Avengers,@00pium_
3,35,Mambas via Whatsgrass,@esh22
3,36,Wranglers,@draake._
3,37,Mets,@kanginator
3,38,Wolves,@maridagoat
3,39,Bees,@pibster
3,40,Mambas,@ig
3,41,Cobras,@apxgp
3,42,Burritos,@justinye
3,43,Gus N Em via Alek Manoahs,@lukeboss
3,44,Wranglers Avengers via Thunderhawks,@nbaburner
3,45,Illegals,@haliban
3,46,Cobras via Mafia,@kernalcorn
3,47,Mambas via The Currents,@asphora
3,48,Turkeys,@horchata_
3,49,Bees via Gus N Em,FORFEIT
4,50,Avengers,@poverty
4,51,Whatsgrass,FORFEIT
4,52,Turkeys via Wranglers,FORFEIT
4,53,Mets,@hayes23
4,54,Wolves,@bearscubsbulls
4,55,Bees,FORFEIT
4,56,Mambas,@payton
4,57,Cobras,FORFEIT
4,58,Burritos,@ajgreen200
4,59,ALEK Manoahs,@gundy32
4,60,Mambas via Thunderhawks,@jimbollinni
4,61,Illegals,@therealsuf
4,62,Mafia,@alessia_russo
4,63,The Currents,@nbafan.23
4,64,ALEK Manoahs via Turkeys,@stl_redbirds
4,65,Gus N Em,@therealdarnellwashington
