League,Team,Wins,Losses,GB,Win %
East,Thunderhawks,10,4,0,.714
East,Whatsgrass,9,5,1,.643
East,Tigers,9,5,1,.643
East,Legends,7,7,3,.500
East,ALEK Manoahs,6,8,4,.429
East,Gamblers,2,12,8,.143
West,Burritos,11,3,0,.786
West,Cobras,10,4,1,.714
West,Illegals,8,6,3,.571
West,Gus N Em,8,6,3,.571
West,Bees,4,10,7,.286
