Date,Team 1,Team 2,Game Type
45827,Mafia,Whatsgrass,Regular Season
45827,ALEK Manoahs,Mambas,Regular Season
45827,Cobras,Mets,Regular Season
45827,Burritos,Bees,Regular Season
45828,The Currents,Avengers,Regular Season
45828,Thunderhawks,Wolves,Regular Season
45828,Turkeys,Wranglers,Regular Season
45828,Gus N Em,Illegals,Regular Season
45829,Mafia,Mambas,Regular Season
45829,ALEK Manoahs,Whatsgrass,Regular Season
45829,Burritos,Mets,Regular Season
45829,Cobras,Bees,Regular Season
45830,The Currents,Wolves,Regular Season
45830,Thunderhawks,Avengers,Regular Season
45830,Turkeys,Illegals,Regular Season
45830,Gus N Em,Wranglers,Regular Season
45831,Mafia,ALEK Manoahs,Regular Season
45831,Mambas,Whatsgrass,Regular Season
45831,Cobras,Burritos,Regular Season
45831,Bees,Mets,Regular Season
45832,The Currents,Thunderhawks,Regular Season
45832,Wolves,Avengers,Regular Season
45832,Turkeys,Gus N Em,Regular Season
45832,Illegals,Wranglers,Regular Season
45833,Whatsgrass,Avengers,Regular Season
45833,Mambas,Wolves,Regular Season
45833,Cobras,Turkeys,Regular Season
45833,Burritos,Gus N Em,Regular Season
45834,Mafia,Whatsgrass,Regular Season
45834,ALEK Manoahs,Thunderhawks,Regular Season
45834,Mafia,The Currents,Regular Season
45834,Bees,Illegals,Regular Season
45835,Mafia,Cobras,Regular Season
45835,ALEK Manoahs,Burritos,Regular Season
45835,Mambas,Bees,Regular Season
45835,Whatsgrass,Mets,Regular Season
45836,The Currents,Turkeys,Regular Season
45836,Thunderhawks,Gus N Em,Regular Season
45836,Cobras,Gus N Em,Regular Season
45836,Burritos,Illegals,Regular Season
45837,Mafia,Thunderhawks,Regular Season
45837,ALEK Manoahs,Wolves,Regular Season
45837,Cobras,Gus N Em,Regular Season
45837,Burritos,Illegals,Regular Season
45838,Mambas,Avengers,Regular Season
45838,Whatsgrass,The Currents,Regular Season
45838,Bees,Wranglers,Regular Season
45838,Mets,Turkeys,Regular Season
45839,Mafia,Whatsgrass,Regular Season
45839,ALEK Manoahs,Mambas,Regular Season
45839,Cobras,Mets,Regular Season
45839,Burritos,Bees,Regular Season
45840,The Currents,Avengers,Regular Season
45840,Thunderhawks,Wolves,Regular Season
45840,Turkeys,Wranglers,Regular Season
45840,Gus N Em,Illegals,Regular Season
45841,Mafia,Mambas,Regular Season
45841,ALEK Manoahs,Whatsgrass,Regular Season
45841,Cobras,Burritos,Regular Season
45841,Bees,Mets,Regular Season
45842,The Currents,Wolves,Regular Season
45842,Thunderhawks,Avengers,Regular Season
45842,Turkeys,Illegals,Regular Season
45842,Gus N Em,Wranglers,Regular Season
45843,Off Day,Off Day,Regular Season
45844,Off Day,Off Day,Regular Season
45845,Gm Game,Gm Game,Regular Season
45847,7-8 All Star Game,7-8 All Star Game,Regular Season
45848,Mafia,ALEK Manoahs,Regular Season
45848,Mambas,Whatsgrass,Regular Season
45848,Cobras,Burritos,Regular Season
45848,Bees,Mets,Regular Season
45849,The Currents,Thunderhawks,Regular Season
45849,Wolves,Avengers,Regular Season
45849,Turkeys,Gus N Em,Regular Season
45849,Illegals,Wranglers,Regular Season
45850,Currents,Gus N Em,Regular Season
45850,Mafia,Mambas,Regular Season
45850,ALEK Manoahs,Whatsgrass,Regular Season
45850,Burritos,Mets,Regular Season
45850,Cobras,Bees,Regular Season
45852,ALEK Manoahs,Currents,Regular Season
45852,Mambas,Thunderhawks,Regular Season
45852,Bees,Gus N Em,Regular Season
45852,Mets,Illegals,Regular Season
45853,Whatsgrass,Wolves,Regular Season
45853,Mafia,Avengers,Regular Season
45853,Cobras,Wranglers,Regular Season
45853,Burritos,Turkeys,Regular Season
45854,Whatsgrass,Thunderhawks,Regular Season
45854,ALEK Manoahs,Avengers,Regular Season
45854,Mafia,Wolves,Regular Season
45854,Mambas,The Currents,Regular Season
45854,Turkeys,Gus N Em,Regular Season
45854,Illegals,Wranglers,Regular Season
45856,Mafia,Whatsgrass,Regular Season
45856,ALEK Manoahs,Mambas,Regular Season
45856,Burritos,Mets,Regular Season
45856,Cobras,Bees,Regular Season
45857,The Currents,Avengers,Regular Season
45857,Thunderhawks,Wolves,Regular Season
45857,Turkeys,Wranglers,Regular Season
45857,Gus N Em,Illegals,Regular Season
45858,Mafia,Mambas,Regular Season
45858,ALEK Manoahs,Whatsgrass,Regular Season
45858,Currents,Gus N Em,Regular Season
45858,Thunderhawks,Illegals,Regular Season
45859,Mafia,Mambas,Regular Season
45859,ALEK Manoahs,Whatsgrass,Regular Season
45859,Burritos,Mets,Regular Season
45859,Cobras,Bees,Regular Season
45860,Mafia,ALEK Manoahs,Regular Season
45860,Mambas,Whatsgrass,Regular Season
45860,Cobras,Burritos,Regular Season
45860,Bees,Mets,Regular Season
45861,The Currents,Thunderhawks,Regular Season
45861,Wolves,Avengers,Regular Season
45861,Turkeys,Gus N Em,Regular Season
45861,Illegals,Wranglers,Regular Season
