Date,Team 1,Team 2,Game Type,Winner
8/11,The Currents,Gus N Em,Playoffs,The Currents
8/12,The Currents,Gus N Em,Playoffs,The Currents
8/13,The Currents,Gus N Em,Playoffs,The Currents
8/15,The Currents,Gus N Em,Playoffs,The Currents
8/16,The Currents,Gus N Em,Playoffs,The Currents
8/18,The Currents,Gus N Em,Playoffs,The Currents
8/19,The Currents,Gus N Em,Playoffs,The Currents
