Date,Team 1,Team 2,Game Type
4/11,ALEK Manoahs,Cobras,Regular Season
4/11,Karma Avengers,The Currents,Regular Season
4/11,Doggy N Em,Burritos,Regular Season
4/11,Thunderhawks,Cobras,Regular Season
4/12,Karma Avengers,Gus N Em,Regular Season
4/12,Doggy N Em,Turkeys,Regular Season
4/12,Wolves,Phoenix,Regular Season
4/13,ALEK Manoahs,Wolves,Regular Season
4/13,Thunderhawks,Cobras,Regular Season
4/13,Mets,Phoenix,Regular Season
4/14,ALEK Manoahs,Whatsgrass,Regular Season
4/14,Thunderhawks,Karma Avengers,Regular Season
4/14,Doggy N Em,Mafia,Regular Season
4/14,Wolves,Gus N Em,Regular Season
4/14,Phoenix,Turkeys,Regular Season
4/14,Mets,Cobras,Regular Season
4/15,Whatsgrass,The Currents,Regular Season
4/15,Mafia,Doggy N Em,Regular Season
4/15,Burritos,Phoenix,Regular Season
4/15,Gus N Em,Cobras,Regular Season
4/16,Thunderhawks,Whatsgrass,Regular Season
4/16,ALEK Manoahs,Mets,Regular Season
4/16,Karma Avengers,Wolves,Regular Season
4/16,Bees,Mets,Regular Season
4/16,Doggy N Em,Bees,Regular Season
4/16,Gus N Em,Cobras,Regular Season
4/17,Mafia,The Currents,Regular Season
4/17,Doggy N Em,Whatsgrass,Regular Season
4/17,ALEK Manoahs,Phoenix,Regular Season
4/17,Burritos,Cobras,Regular Season
4/17,Gus N Em,Illegals,Regular Season
4/17,Turkeys,Phoenix,Regular Season
4/18,ALEK Manoahs,Doggy N Em,Regular Season
4/18,Thunderhawks,Karma Avengers,Regular Season
4/18,Mets,Bees,Regular Season
4/18,Wolves,Thunderhawks,Regular Season
4/18,Illegals,Turkeys,Regular Season
4/19,ALEK Manoahs,Phoenix,Regular Season
4/19,Doggy N Em,Illegals,Regular Season
4/19,Whatsgrass,Mafia,Regular Season
4/19,Cobras,Wolves,Regular Season
4/21,Karma Avengers,Burritos,Regular Season
4/21,Bees,Mets,Regular Season
4/21,Doggy N Em,Thunderhawks,Regular Season
4/21,Gus N Em,Illegals,Regular Season
4/22,ALEK Manoahs,Thunderhawks,Regular Season
4/22,Doggy N Em,Wolves,Regular Season
4/22,Bees,Gus N Em,Regular Season
4/22,Cobras,Turkeys,Regular Season
4/23,Whatsgrass,The Currents,Regular Season
4/23,Mafia,Karma Avengers,Regular Season
4/23,Gus N Em,Phoenix,Regular Season
4/23,The Bolts,The Currents,Regular Season
4/24,Mafia,ALEK Manoahs,Regular Season
4/24,Karma Avengers,Wolves,Regular Season
4/24,The Bolts,Burritos,Regular Season
4/24,The Currents,Phoenix,Regular Season
4/24,Doggy N Em,Thunderhawks,Regular Season
4/24,Bees,Phoenix,Regular Season
4/25,Whatsgrass,Burritos,Regular Season
4/25,ALEK Manoahs,The Currents,Regular Season
4/25,Doggy N Em,Cobras,Regular Season
4/28,Whatsgrass,Thunderhawks,Regular Season
4/28,Mafia,The Currents,Regular Season
4/28,ALEK Manoahs,Wolves,Regular Season
4/28,Cobras,Burritos,Regular Season
4/28,Phoenix,Turkeys,Regular Season
4/29,Whatsgrass,ALEK Manoahs,Regular Season
4/29,Mafia,Cobras,Regular Season
4/29,Thunderhawks,Illegals,Regular Season
4/29,Karma Avengers,Phoenix,Regular Season
4/29,Wolves,Mets,Regular Season
4/30,Whatsgrass,Thunderhawks,Regular Season
4/30,Mafia,ALEK Manoahs,Regular Season
4/30,Doggy N Em,The Currents,Regular Season
4/30,Bees,Phoenix,Regular Season
4/30,Mafia,Gus N Em,Regular Season
5/1,ALEK Manoahs,The Currents,Regular Season
5/1,Whatsgrass,Doggy N Em,Regular Season
5/1,Turkeys,Illegals,Regular Season
5/1,Cobras,Bees,Regular Season
5/2,Whatsgrass,Burritos,Regular Season
5/2,Doggy N Em,The Currents,Regular Season
5/2,Wolves,Phoenix,Regular Season
5/2,Mafia,Illegals,Regular Season
5/3,Whatsgrass,Turkeys,Regular Season
5/3,Doggy N Em,Gus N Em,Regular Season
5/3,The Bolts,The Currents,Regular Season
5/3,Mafia,Phoenix,Regular Season
5/4,Karma Avengers,Gus N Em,Regular Season
5/4,Doggy N Em,Turkeys,Regular Season
5/4,Whatsgrass,Mets,Regular Season
5/4,Mafia,Cobras,Regular Season
5/5,ALEK Manoahs,Burritos,Regular Season
5/5,Wolves,Illegals,Regular Season
5/5,The Currents,Whatsgrass,Regular Season
5/5,Thunderhawks,Phoenix,Regular Season
5/6,Karma Avengers,Turkeys,Regular Season
5/6,Doggy N Em,Mets,Regular Season
5/6,Mafia,Cobras,Regular Season
5/7,ALEK Manoahs,Mets,Regular Season
5/7,Doggy N Em,Karma Avengers,Regular Season
5/7,The Currents,Illegals,Regular Season
5/7,Phoenix,Mafia,Regular Season
5/8,ALEK Manoahs,The Currents,Regular Season
5/8,Doggy N Em,The Bolts,Regular Season
5/8,Whatsgrass,Illegals,Regular Season
5/8,Gus N Em,The Bolts,Regular Season
5/9,Thunderhawks,Wolves,Regular Season
5/9,Gus N Em,Cobras,Regular Season
5/9,Wolves,Turkeys,Regular Season
5/9,Doggy N Em,Gus N Em,Regular Season
5/10,Gus N Em,Cobras,Regular Season
5/10,Turkeys,Mafia,Regular Season
5/10,Mets,Cobras,Regular Season
5/10,Whatsgrass,Turkeys,Regular Season
5/12,ALEK Manoahs,Gus N Em,Regular Season
5/12,Doggy N Em,Turkeys,Regular Season
5/12,Whatsgrass,Phoenix,Regular Season
5/12,Mafia,Illegals,Regular Season
5/13,Bees,Cobras,Regular Season
5/13,Thunderhawks,Burritos,Regular Season
5/13,Wolves,Mets,Regular Season
5/13,The Currents,Karma Avengers,Regular Season
5/14,ALEK Manoahs,Turkeys,Regular Season
5/14,Burritos,Phoenix,Regular Season
5/14,Doggy N Em,Illegals,Regular Season
5/14,Mafia,Gus N Em,Regular Season
