Date,Team 1,Team 2,Game Type
1/22,The Currents,Doggy N Em,Regular Season
1/22,Thunderhawks,Alek Manoahs,Regular Season
1/22,Karma Avengers,Whatsgrass,Regular Season
1/22,Mafia,Burritos,Regular Season
1/22,Cobras,Enforcers,Regular Season
1/22,Bees,Illegals,Regular Season
1/22,The Bolts,Gus N Em,Regular Season
1/24,Alek Manoahs,Whatsgrass,Regular Season
1/24,Karma Avengers,The Currents,Regular Season
1/24,Thunderhawks,Mafia,Regular Season
1/24,Doggy N Em,Enforcers,Regular Season
1/24,Illegals,Burritos,Regular Season
1/24,Gus N Em,Cobras,Regular Season
1/24,The Bolts,Bees,Regular Season
1/25,Doggy N Em,Karma Avengers,Regular Season
1/25,Mafia,Whatsgrass,Regular Season
1/25,The Currents,Alek Manoahs,Regular Season
1/25,Thunderhawks,Illegals,Regular Season
1/25,Enforcers,Gus N Em,Regular Season
1/25,Burritos,The Bolts,Regular Season
1/25,Cobras,Bees,Regular Season
1/27,Whatsgrass,Thunderhawks,Regular Season
1/27,Alek Manoahs,Doggy N Em,Regular Season
1/27,The Currents,Mafia,Regular Season
1/27,Karma Avengers,Gus N Em,Regular Season
1/27,The Bolts,Illegals,Regular Season
1/27,Bees,Enforcers,Regular Season
1/27,Cobras,Burritos,Regular Season
1/29,Karma Avengers,Alek Manoahs,Regular Season
1/29,Thunderhawks,The Currents,Regular Season
1/29,Doggy N Em,Mafia,Regular Season
1/29,Whatsgrass,The Bolts,Regular Season
1/29,Gus N Em,Bees,Regular Season
1/29,Cobras,Illegals,Regular Season
1/29,Enforcers,Burritos,Regular Season
1/31,The Currents,Whatsgrass,Regular Season
1/31,Mafia,Karma Avengers,Regular Season
1/31,Doggy N Em,Thunderhawks,Regular Season
1/31,Alek Manoahs,Bees,Regular Season
1/31,Cobras,The Bolts,Regular Season
1/31,Burritos,Gus N Em,Regular Season
1/31,Enforcers,Illegals,Regular Season
2/1,Alek Manoahs,Mafia,Regular Season
2/1,Whatsgrass,Doggy N Em,Regular Season
2/1,Karma Avengers,Thunderhawks,Regular Season
2/1,The Currents,Cobras,Regular Season
2/1,Bees,Burritos,Regular Season
2/1,The Bolts,Enforcers,Regular Season
2/1,Gus N Em,Illegals,Regular Season
2/3,Doggy N Em,The Currents,Regular Season
2/3,Thunderhawks,Alek Manoahs,Regular Season
2/3,Karma Avengers,Whatsgrass,Regular Season
2/3,Mafia,Burritos,Regular Season
2/3,Enforcers,Cobras,Regular Season
2/3,Illegals,Bees,Regular Season
2/3,Gus N Em,The Bolts,Regular Season
2/5,Mafia,Thunderhawks,Regular Season
2/5,The Currents,Karma Avengers,Regular Season
2/5,Alek Manoahs,Whatsgrass,Regular Season
2/5,Doggy N Em,Enforcers,Regular Season
2/5,Burritos,Illegals,Regular Season
2/5,The Bolts,Cobras,Regular Season
2/5,Bees,Gus N Em,Regular Season
2/7,Karma Avengers,Doggy N Em,Regular Season
2/7,Whatsgrass,Mafia,Regular Season
2/7,Alek Manoahs,The Currents,Regular Season
2/7,Thunderhawks,Illegals,Regular Season
2/7,Gus N Em,Enforcers,Regular Season
2/7,The Bolts,Burritos,Regular Season
2/7,Bees,Cobras,Regular Season
2/8,Thunderhawks,Whatsgrass,Regular Season
2/8,Doggy N Em,Alek Manoahs,Regular Season
2/8,Mafia,The Currents,Regular Season
2/8,Karma Avengers,Gus N Em,Regular Season
2/8,Illegals,The Bolts,Regular Season
2/8,Enforcers,Bees,Regular Season
2/8,Burritos,Cobras,Regular Season
2/10,Alek Manoahs,Karma Avengers,Regular Season
2/10,The Currents,Thunderhawks,Regular Season
2/10,Mafia,Doggy N Em,Regular Season
2/10,Whatsgrass,The Bolts,Regular Season
2/10,Gus N Em,Bees,Regular Season
2/10,Cobras,Illegals,Regular Season
2/10,Burritos,Enforcers,Regular Season
2/12,Whatsgrass,The Currents,Regular Season
2/12,Karma Avengers,Mafia,Regular Season
2/12,Thunderhawks,Doggy N Em,Regular Season
2/12,Alek Manoahs,Bees,Regular Season
2/12,The Bolts,Cobras,Regular Season
2/12,Gus N Em,Burritos,Regular Season
2/12,Illegals,Enforcers,Regular Season
2/15,Mafia,Alek Manoahs,Regular Season
2/15,Doggy N Em,Whatsgrass,Regular Season
2/15,Thunderhawks,Karma Avengers,Regular Season
2/15,The Currents,Cobras,Regular Season
2/15,Bees,Burritos,Regular Season
2/15,Enforcers,The Bolts,Regular Season
2/15,Illegals,Gus N Em,Regular Season
2/17,Karma Avengers,Cobras,Regular Season
2/17,Whatsgrass,Bees,Regular Season
2/17,Alek Manoahs,Burritos,Regular Season
2/17,Thunderhawks,Gus N Em,Regular Season
2/17,Doggy N Em,Enforcers,Regular Season
2/17,Mafia,Illegals,Regular Season
2/17,The Currents,The Bolts,Regular Season
